交易时间,交易标的,交易前仓位,交易后仓位,交易价格,交易仓位,交易方向,交易思路
2025/11/13 22:42,ALB,0.00%,19.00%,122.991,19.00%,B,
2025/11/13 22:42,CSIQ,28.09%,20.00%,28.246,-8.09%,S,
2025/11/12 23:19,FLNC,0.00%,8.70%,20.3,8.70%,B,
2025/11/12 23:16,EOSE,8.71%,0.00%,17.221,-8.71%,S,
2025/11/12 23:16,TSEM,0.00%,20.00%,104.37,20.00%,B,
2025/11/12 22:32,RKLB,9.35%,0.00%,52.585,-9.35%,S,
2025/11/12 00:30,RKLB,19.45%,9.45%,53.058,-10.00%,S,
2025/11/11 22:46,RKLB,0.00%,20.00%,55.34,20.00%,B,
2025/11/11 22:44,XPEV,20.77%,0.00%,26.8,-20.77%,S,
2025/11/10 22:53,NVDL,9.69%,0.00%,98.63,-9.69%,S,
2025/11/10 22:53,XPEV,0.00%,19.30%,24.345,19.30%,B,
2025/11/10 22:40,MP,18.89%,0.00%,62.3,-18.89%,S,
2025/11/10 22:40,CSIQ,20.76%,30.00%,31.75,9.24%,B,
2025/11/8 04:11,NVDL,0.00%,9.80%,91.71,9.80%,B,
2025/11/8 04:11,TNA,9.72%,0.00%,43.61,-9.72%,S,
2025/11/8 03:21,TNA,0.00%,9.90%,42.82,9.90%,B,
2025/11/8 03:20,SNDK,30.01%,40.00%,224.2,9.99%,B,
2025/11/8 03:20,MP,15.03%,20.00%,58.178,4.97%,B,
2025/11/8 03:20,EOSE,0.00%,10.00%,17.07,10.00%,B,
2025/11/8 03:20,BRK.B,50.44%,0.00%,497.565,-50.44%,S,
2025/11/8 03:20,CSIQ,0.00%,20.00%,26.9,20.00%,B,
2025/11/8 03:12,SNDK,21.69%,30.00%,223.808,8.31%,B,
2025/11/8 03:12,MP,0.00%,15.00%,58,15.00%,B,
2025/11/8 03:12,LABD,27.13%,0.00%,31.965,-27.13%,S,
2025/11/8 00:14,BRK.B,0.00%,51.00%,499.41,51.00%,B,
2025/11/8 00:14,LITE,30.52%,0.00%,230.34,-30.52%,S,
2025/11/8 00:04,MP,20.60%,0.00%,53.95,-20.60%,S,
2025/11/7 23:59,SNDK,38.09%,20.00%,207.43,-18.09%,S,
2025/11/7 23:59,LABD,0.00%,28.00%,33.18,28.00%,B,
2025/11/7 23:46,AFRM,10.18%,0.00%,71.015,-10.18%,S,
2025/11/7 23:21,AFRM,29.76%,10.00%,71.903,-19.76%,S,
2025/11/7 23:21,MP,29.98%,20.00%,54.49,-9.98%,S,
2025/11/7 23:21,LITE,0.00%,29.70%,235.655,29.70%,B,
2025/11/7 22:59,SNDK,32.43%,40.00%,227.13,7.57%,B,
2025/11/7 22:59,AFRM,14.85%,30.00%,73.12,15.15%,B,
2025/11/7 22:59,MP,14.85%,30.00%,73.12,15.15%,B,
2025/11/7 22:59,TLT,29.56%,0.00%,89.4,-29.56%,S,
2025/11/7 22:53,AFRM,0.00%,15.00%,72.785,15.00%,B,
2025/11/7 22:53,TLT,44.64%,30.00%,89.415,-14.64%,S,
2025/11/7 22:50,MP,0.00%,20.00%,53.38,20.00%,B,
2025/11/7 22:50,TLT,50.67%,45.00%,89.47,-5.67%,S,
2025/11/7 22:48,CSIQ,19.33%,0.00%,25.33,-19.33%,S,
2025/11/7 19:20,TLT,0.00%,49.80%,89.435,49.80%,B,
2025/11/7 19:19,SNDK,43.95%,30.00%,206.91,-13.95%,S,
2025/11/7 19:19,BABX,13.27%,0.00%,45.52,-13.27%,S,
2025/11/7 19:19,TSLL,13.30%,0.00%,19.62,-13.30%,S,
2025/11/7 19:19,XPEV,9.33%,0.00%,22.97,-9.33%,S,
2025/11/6 23:24,FLNC,9.34%,0.00%,20.59,-9.34%,S,
2025/11/6 23:24,XPEV,2.85%,10.00%,24.17,7.15%,B,
2025/11/6 22:48,SEI,2.85%,0.00%,52.475,-2.85%,S,
2025/11/6 22:48,BABX,10.02%,12.89%,49.41,2.87%,B,
2025/11/5 23:48,BABX,14.41%,10.00%,47,-4.41%,S,
2025/11/5 23:48,FLNC,5.20%,9.70%,21.2,4.50%,B,
2025/11/5 22:40,SNDK,72.13%,45.00%,210.74,-27.13%,S,
2025/11/5 22:40,SEI,0.00%,3.00%,52.17,3.00%,B,
2025/11/5 22:40,FLNC,0.00%,5.00%,20.19,5.00%,B,
2025/11/5 22:40,CSIQ,0.00%,18.90%,24.945,18.90%,B,
2025/11/5 22:33,TSLL,13.67%,13.70%,20.71,0.03%,B,
2025/11/5 12:00,BABX,15.28%,15.00%,46.735,-0.28%,S,
2025/11/5 07:30,ANET,14.77%,0.00%,146.32,-14.77%,S,
2025/11/4 23:26,BABX,0.00%,15.00%,47.31,15.00%,B,
2025/11/4 23:26,BABA,29.62%,0.00%,165.72,-29.62%,S,
2025/11/4 23:26,ANET,0.00%,14.60%,156.845,14.60%,B,
2025/11/4 22:50,SNDK,100.00%,70.00%,198.28,-30.00%,S,
2025/11/4 22:50,BABA,0.00%,30.00%,165.35,30.00%,B,
2025/11/4 22:36,SNDK,61.58%,100.00%,190.45,38.42%,B,
2025/11/4 22:36,TSLL,38.42%,0.00%,20.811,-38.42%,S,
2025/11/3 23:54,SNDK,40.53%,60.00%,195.24,19.47%,B,
2025/11/3 23:54,TSLL,30.02%,40.00%,22.8,9.98%,B,
2025/11/3 23:54,VIXY,29.45%,0.00%,33.225,-29.45%,S,
2025/11/3 23:34,SNDK,49.60%,40.00%,191.495,-9.60%,S,
2025/11/3 23:34,TSLL,50.30%,30.00%,22.64,-20.30%,S,
2025/11/3 23:34,VIXY,0.00%,30.00%,33.64,30.00%,B,
2025/11/3 22:58,NBIS,24.67%,0.00%,127.805,-24.67%,S,
2025/11/3 22:58,TSLL,25.42%,50.00%,22.981,24.58%,B,
2025/11/3 22:50,TSLL,0.00%,24.80%,22.585,24.80%,B,
2025/11/3 22:50,CRDO,24.88%,0.00%,185.87,-24.88%,S,
2025/11/1 03:47,SNDK,40.41%,50.00%,200.04,9.59%,B,
2025/11/1 03:47,NBIS,20.64%,25.00%,131.71,4.36%,B,
2025/11/1 03:47,CRDO,21.26%,25.00%,188.13,3.74%,B,
2025/11/1 03:47,VIXY,17.43%,0.00%,33.005,-17.43%,S,
2025/11/1 00:13,CRWV,18.09%,0.00%,133.785,-18.09%,S,
2025/11/1 00:13,VIXY,0.00%,18.00%,33.22,18.00%,B,
2025/10/31 23:05,CRWV,0.00%,18.00%,137.19,18.00%,B,
2025/10/31 23:05,SNDK,57.75%,40.00%,198.71,-17.75%,S,
2025/10/31 21:32,NBIS,0.00%,20.00%,126.6,20.00%,B,
2025/10/31 21:32,UUUU,20.45%,0.00%,21.79,-20.45%,S,
2025/10/30 23:45,SNDK,70.50%,60.00%,196.44,-10.50%,S,
2025/10/30 23:45,CRDO,0.00%,20.00%,172.435,20.00%,B,
2025/10/30 22:01,UUUU,0.00%,20.00%,20.898,20.00%,B,
2025/10/30 22:01,CRDO,0.00%,30.00%,177.29,30.00%,B,
2025/10/30 22:01,BE,18.53%,0.00%,128.082,-18.53%,S,
2025/10/30 22:01,TSLA,11.00%,0.00%,452.31,-11.00%,S,
2025/10/30 21:47,SNDK,60.35%,70.00%,200.11,9.65%,B,
2025/10/30 21:47,TSLA,0.00%,11.00%,452.265,11.00%,B,
2025/10/30 21:44,SQQQ,19.94%,0.00%,13.215,-19.94%,S,
2025/10/30 21:39,SNDK,51.67%,60.00%,197.04,8.33%,B,
2025/10/30 21:39,SQQQ,29.64%,20.00%,13.22,-9.64%,S,
2025/10/30 20:54,FUTU,29.38%,0.00%,189.97,-29.38%,S,
2025/10/29 23:14,SNDK,45.53%,50.00%,193.53,4.47%,B,
2025/10/29 23:14,TSLL,28.31%,0.00%,21.826,-28.31%,S,
2025/10/29 23:14,FUTU,0.00%,30.00%,197.805,30.00%,B,
2025/10/29 23:14,BE,26.16%,20.00%,138.86,-6.16%,S,
2025/10/29 21:34,SNDK,42.35%,45.00%,184.34,2.65%,B,
2025/10/29 21:34,TSLL,26.12%,30.00%,22.29,3.88%,B,
2025/10/29 21:34,BE,20.02%,25.00%,127.865,4.98%,B,
2025/10/29 21:33,INTW,15.19%,0.00%,58.045,-15.19%,S,
2025/10/29 21:33,SMR,16.44%,0.00%,42.78,-16.44%,S,
2025/10/29 21:33,BE,0.00%,20.00%,127,20.00%,B,
2025/10/28 23:38,INTW,0.00%,16.00%,59.17,16.00%,B,
2025/10/28 23:38,APLD,15.29%,0.00%,36.579,-15.29%,S,
2025/10/28 23:21,SNDK,33.25%,40.00%,167.11,6.75%,B,
2025/10/28 23:21,TSLL,20.25%,27.00%,22.16,6.75%,B,
2025/10/28 23:21,BE,14.05%,0.00%,107.26,-14.05%,S,
2025/10/28 22:57,TSLL,0.00%,20.00%,22.1,20.00%,B,
2025/10/28 22:57,BE,0.00%,14.00%,107.905,14.00%,B,
2025/10/28 22:57,TSLA,34.17%,0.00%,461.32,-34.17%,S,
2025/10/28 22:15,SMR,0.00%,16.70%,42.25,16.70%,B,
2025/10/28 22:15,APLD,0.00%,15.00%,36.071,15.00%,B,
2025/10/28 22:15,BABA,31.03%,0.00%,178.43,-31.03%,S,
2025/10/28 21:55,BULL,9.87%,0.00%,11.381,-9.87%,S,
2025/10/28 21:55,TSLA,24.63%,34.00%,455.77,9.37%,B,
2025/10/27 23:20,INTC,24.17%,0.00%,39.51,-24.17%,S,
2025/10/27 23:20,TSLA,0.00%,24.00%,453.08,24.00%,B,
2025/10/27 22:44,INTC,10.19%,24.70%,40.58,14.51%,B,
2025/10/27 22:44,TSLA,14.52%,0.00%,447.73,-14.52%,S,
2025/10/27 22:38,SNDK,25.14%,35.00%,181.055,9.86%,B,
2025/10/27 22:38,QS,9.93%,0.00%,16.915,-9.93%,S,
2025/10/27 22:13,SNDK,39.42%,25.00%,180.37,-14.42%,S,
2025/10/27 22:13,TSLA,0.00%,14.50%,449.05,14.50%,B,
2025/10/27 22:08,EOSE,9.96%,0.00%,16.14,-9.96%,S,
2025/10/27 22:08,INTC,0.00%,10.00%,40.035,10.00%,B,
2025/10/27 21:56,BULL,0.00%,9.85%,11.794,9.85%,B,
2025/10/27 21:56,SNDK,49.95%,40.00%,183.705,-9.95%,S,
2025/10/27 21:56,QS,5.26%,10.00%,17.188,4.74%,B,
2025/10/27 21:56,EOSE,4.99%,10.00%,16.24,5.01%,B,
2025/10/27 21:56,BABA,39.79%,30.00%,177.7,-9.79%,S,
2025/10/25 00:11,QS,0.00%,5.00%,16.19,5.00%,B,
2025/10/25 00:11,EOSE,0.00%,5.00%,16.12,5.00%,B,
2025/10/25 00:11,BABA,49.60%,39.60%,175.18,-10.00%,S,
2025/10/24 21:44,SNDK,61.98%,50.00%,179.11,-11.98%,S,
2025/10/24 21:44,BABX,37.73%,0.00%,52.38,-37.73%,S,
2025/10/24 21:44,BABA,0.00%,50.00%,173.64,50.00%,B,
2025/10/23 23:05,BABX,29.19%,39.00%,50.87,9.81%,B,
2025/10/23 23:05,UUUU,9.52%,0.00%,22.42,-9.52%,S,
2025/10/23 22:35,BABX,0.00%,29.00%,50.27,29.00%,B,
2025/10/23 22:35,BABA,29.24%,0.00%,170.07,-29.24%,S,
2025/10/23 21:35,SNDK,20.64%,59.00%,151.07,38.36%,B,
2025/10/23 21:35,UUUU,29.65%,10.00%,22.245,-19.65%,S,
2025/10/23 21:35,TSLA,19.16%,0.00%,415.77,-19.16%,S,
2025/10/23 02:34,SOXS,9.99%,0.00%,4.366,-9.99%,S,
2025/10/23 02:34,UUUU,19.86%,29.90%,22.37,10.04%,B,
2025/10/23 02:27,SOXS,19.87%,10.00%,4.365,-9.87%,S,
2025/10/23 02:27,UUUU,9.87%,19.70%,22.15,9.83%,B,
2025/10/23 02:06,SOXS,29.71%,20.00%,4.373,-9.71%,S,
2025/10/23 02:06,UUUU,0.00%,9.70%,21.665,9.70%,B,
2025/10/23 01:39,SOXS,19.50%,29.80%,4.391,10.30%,B,
2025/10/23 01:39,TSLA,30.22%,20.00%,430.947,-10.22%,S,
2025/10/23 01:24,SOXS,0.00%,19.40%,4.363,19.40%,B,
2025/10/23 01:24,UUUU,11.97%,0.00%,21.125,-11.97%,S,
2025/10/23 01:13,BABX,29.85%,0.00%,47.36,-29.85%,S,
2025/10/23 01:13,BABA,0.00%,30.00%,164.94,30.00%,B,
2025/10/23 01:04,UUUU,0.00%,12.00%,21.29,12.00%,B,
2025/10/23 00:50,BE,19.64%,0.00%,89.745,-19.64%,S,
2025/10/23 00:13,SNDK,29.91%,20.00%,148.24,-9.91%,S,
